9	55767	3204528	2	1845402	5097306	-	sorAra	sunEtr
9	3864608	8789959	15	19743450	27324147	+	sorAra	sunEtr
9	10585003	12019480	2	33195	1196309	-	sorAra	sunEtr
9	14214911	16429115	15	28509062	30738966	-	sorAra	sunEtr
9	16733402	18529438	15	31961961	34048936	-	sorAra	sunEtr
9	18530525	33015121	15	34474915	45199582	+	sorAra	sunEtr
9	33492823	34548519	7	50368916	51277817	+	sorAra	sunEtr
9	35062534	68625139	7	16136003	50354098	-	sorAra	sunEtr
X	9866364	22521324	X	3193531	17292569	-	sorAra	sunEtr
X	23738660	35309230	X	18818464	33516713	+	sorAra	sunEtr
X	35311122	50456609	X	34756387	50327330	+	sorAra	sunEtr
X	50696746	52916266	X	52889546	54297327	-	sorAra	sunEtr
X	55150645	56290297	X	55177265	57453794	+	sorAra	sunEtr
X	57636459	62759545	X	89875419	95394949	-	sorAra	sunEtr
X	62861160	65311679	X	87277097	89869529	-	sorAra	sunEtr
X	65894750	71745907	X	80827273	86754912	-	sorAra	sunEtr
X	71754291	79470497	X	73239371	80824895	-	sorAra	sunEtr
X	79470517	90574882	X	96758317	108803640	+	sorAra	sunEtr
X	90612905	99214446	X	108807454	117101525	+	sorAra	sunEtr
X	100109824	102923360	X	71938541	72588317	+	sorAra	sunEtr
X	103998924	108184119	X	128250304	131964651	-	sorAra	sunEtr
X	108245848	110426031	X	126249220	128216925	-	sorAra	sunEtr
X	110639957	119747983	X	117101627	126246027	-	sorAra	sunEtr
X	119760568	147675239	X	56065204	71511248	-	sorAra	sunEtr
X	158498525	168165271	7	51438475	62383253	-	sorAra	sunEtr
X	168193164	172498687	5	31349889	35169735	-	sorAra	sunEtr
X	172498822	199577147	5	53974705	83144948	+	sorAra	sunEtr
X	199577153	216663035	5	83155775	101666075	-	sorAra	sunEtr
X	216694753	241183003	5	110011328	135918838	-	sorAra	sunEtr
X	241846849	249205675	1	25016863	32958174	+	sorAra	sunEtr
X	249216863	266127151	2	17929760	35310896	-	sorAra	sunEtr
X	266127287	267282562	5	22494956	23895943	-	sorAra	sunEtr
X	267788461	278034692	9	39044840	48695945	-	sorAra	sunEtr
X	278192350	288421265	12	12450902	20509860	+	sorAra	sunEtr
X	288438262	290984331	7	80154748	82729782	+	sorAra	sunEtr
X	291157647	293554736	12	10257821	12419715	-	sorAra	sunEtr
X	293574020	306404560	12	41739132	54520446	+	sorAra	sunEtr
X	307657149	316419977	12	54523862	64171088	+	sorAra	sunEtr
X	316884785	335723012	12	21422130	41715033	-	sorAra	sunEtr
X	335723817	366531876	12	64425213	97131800	+	sorAra	sunEtr
X	366636872	374277343	12	97218166	104750938	+	sorAra	sunEtr
3	19732	1649489	17	72469523	74285459	+	sorAra	sunEtr
3	1655359	44589078	3	135080	44377355	-	sorAra	sunEtr
3	44589094	78146516	2	35345105	70641401	+	sorAra	sunEtr
3	78155067	84305701	16	38730	6235367	-	sorAra	sunEtr
3	84315140	86206792	12	1878662	3985001	+	sorAra	sunEtr
3	86207217	87824988	10	83203433	96183926	-	sorAra	sunEtr
3	95811667	98551086	1	542099	3417597	+	sorAra	sunEtr
3	98961658	103593780	1	8155872	13408522	-	sorAra	sunEtr
3	106466410	108787240	7	1029346	2870851	-	sorAra	sunEtr
3	108789969	110008071	9	6204	678559	-	sorAra	sunEtr
3	111600897	120543762	15	46484115	54161564	+	sorAra	sunEtr
3	121829950	123211870	9	12858872	14330785	+	sorAra	sunEtr
3	123216672	130448426	9	1149618	8478904	-	sorAra	sunEtr
