1	0	101794747	4	88434193	191303475	-	APCF	sorAra
1	101794747	104380582	X	288436288	291022123	+	APCF	sorAra
1	104380582	116254912	4	75558299	87499288	-	APCF	sorAra
1	116254912	117539082	7	1689365	2973535	-	APCF	sorAra
1	117539082	121255052	5	110328193	114044163	+	APCF	sorAra
1	121255052	129067862	2	24852118	33575007	+	APCF	sorAra
1	129067862	137131242	2	15988494	24852118	-	APCF	sorAra
1	137131242	140700939	2	11787744	15357441	+	APCF	sorAra
1	140700939	151027966	2	69	11762069	-	APCF	sorAra
2	0	56652965	2	321937760	381027481	-	APCF	sorAra
2	56652965	66123223	2	40138988	49727369	+	APCF	sorAra
2	66123223	79959732	1	76802400	93842306	+	APCF	sorAra
2	79959732	148086252	1	26667	75722235	-	APCF	sorAra
3	0	38095117	X	57636459	99214446	+	APCF	sorAra
3	38095117	57312092	X	99790955	119749467	-	APCF	sorAra
3	57312092	85681911	X	119754507	150264305	+	APCF	sorAra
3	85681911	130919286	X	8870760	56883248	-	APCF	sorAra
4	0	66571507	4	2478289	71269860	+	APCF	sorAra
4	66571507	68902659	7	9488964	11820116	-	APCF	sorAra
4	68902659	70961525	2	317769049	319827915	-	APCF	sorAra
4	70961525	74500457	3	106466410	110008071	+	APCF	sorAra
4	74500457	97914758	3	121813047	145930818	-	APCF	sorAra
4	97914758	122348927	5	114342869	140375581	+	APCF	sorAra
5	0	1529868	X	156763047	158292915	-	APCF	sorAra
5	1529868	79635336	X	188872431	267779683	-	APCF	sorAra
5	79635336	97501155	1	199846202	217712021	+	APCF	sorAra
5	97501155	116465741	X	168190391	188872431	+	APCF	sorAra
6	0	3262994	5	83074016	86337010	+	APCF	sorAra
6	3262994	6807133	3	149723923	153299618	+	APCF	sorAra
6	6807133	10575976	3	145955080	149723923	-	APCF	sorAra
6	10575976	16722024	5	91453213	97599261	+	APCF	sorAra
6	16722024	19531570	5	88470003	91279549	+	APCF	sorAra
6	19531570	33125421	8	57626416	71220267	+	APCF	sorAra
6	33125421	55831223	5	59580651	82659621	-	APCF	sorAra
6	55831223	107793753	5	5975977	59563400	+	APCF	sorAra
6	107793753	112643760	5	35470	4885477	-	APCF	sorAra
7	0	4111545	3	99482235	103593780	+	APCF	sorAra
7	4111545	9568422	2	34237340	40055825	-	APCF	sorAra
7	9568422	15423372	10	129	5855079	-	APCF	sorAra
7	15423372	17838837	2	208927185	211342650	-	APCF	sorAra
7	17838837	107904395	3	19732	95567135	-	APCF	sorAra
8	0	2189681	2	264149141	266524596	+	APCF	sorAra
8	2189681	34614293	2	282000395	316408059	-	APCF	sorAra
